StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_23k5YdQdfS7nca1,,,,,48.44960022,-123.302597,test,,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_8eV26QGOkDMmyfX,,,,,48.44960022,-123.302597,test,,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_5pTSs2C2nkugMTz,,,,,48.44960022,-123.302597,test,,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_7VEI10jLRIHJYup,,,,,48.44960022,-123.302597,test,,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_6Va3KX6hvNQ3qh7,,,,,48.44960022,-123.302597,test,,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_aahKnVyNBEF7LJr,,,,,48.44960022,-123.302597,test,,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_0wx9OgDL83EkNBr,,,,,48.44960022,-123.302597,test,,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_6sr0s4Etf12JoQ5,,,,,48.44960022,-123.302597,test,,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_6nhmbqkzJvlEivr,,,,,48.44960022,-123.302597,test,,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_cHXk3JRNwP2knbL,,,,,48.44960022,-123.302597,test,,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_6KEkqKVNrr7XYLb,,,,,48.44960022,-123.302597,test,,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_0kd5NnkfRGFE0x7,,,,,48.44960022,-123.302597,test,,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1
2019-07-20 15:39,2019-07-20 15:39,2,,100,0,1,2019-07-20 15:39,R_41SyyQmWu8Na2TX,,,,,48.44960022,-123.302597,test,,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0
