StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,BASEF_1,BASEF_2,BASEF_3,BASEF_4,BASEF_5,BASEF_6,BASEF_7,BASEF_8,BASEF_9,BASEF_10,BASEF_11,BASEF_12,BASEF_13,BASEF_14,BASEF_15
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_afyZ9C1ZsrqLSzX,,,,,48.41520691,-123.3655014,test,,5,2,2,4,2,3,5,3,3,5,3,1,3,5,3
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_batmXHyg7cJXaa9,,,,,48.41520691,-123.3655014,test,,4,3,3,3,4,3,2,3,5,5,4,2,3,5,2
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_3KmDg8EiS0ER35X,,,,,48.41520691,-123.3655014,test,,1,4,3,4,3,3,3,1,5,2,4,3,3,2,3
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_ah0RMxkGKuFTjc9,,,,,48.41520691,-123.3655014,test,,1,5,5,2,4,2,3,4,4,1,3,5,3,4,4
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_a5BieH09mL52IrX,,,,,48.41520691,-123.3655014,test,,3,2,1,4,4,4,2,2,3,4,3,3,3,5,4
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_6tIYAO3saGhFvyl,,,,,48.41520691,-123.3655014,test,,2,4,2,2,4,1,4,4,5,5,4,4,5,2,5
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_d13FnuTXZiyzRqJ,,,,,48.41520691,-123.3655014,test,,1,2,2,4,4,2,3,1,3,1,5,5,4,2,2
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_emxVCTEjSJdZBRz,,,,,48.41520691,-123.3655014,test,,1,5,2,4,3,5,2,1,5,2,4,3,2,4,1
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_3fmC5Dxh2M8iTFr,,,,,48.41520691,-123.3655014,test,,2,4,3,1,1,1,4,5,1,5,1,5,4,5,2
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_9QRZlUn9vWX70KV,,,,,48.41520691,-123.3655014,test,,2,4,2,3,2,5,3,1,5,4,3,1,1,2,5
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_07Z7Md3XMvTqv4x,,,,,48.41520691,-123.3655014,test,,4,1,4,2,4,5,3,4,3,1,4,1,2,4,1
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_5t1UXouJfO5jyHH,,,,,48.41520691,-123.3655014,test,,5,4,5,1,5,2,1,5,5,2,1,2,4,4,4
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_9RII6cUlcwzmfDD,,,,,48.41520691,-123.3655014,test,,5,3,5,5,2,5,3,5,2,5,1,4,4,5,2
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_0w8fAcKL8NuQDrf,,,,,48.41520691,-123.3655014,test,,4,2,3,4,3,4,2,2,5,4,1,3,5,2,5
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_8JoO3decS75Rai9,,,,,48.41520691,-123.3655014,test,,4,1,2,5,3,5,2,3,4,2,1,5,4,2,1
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_1R1JI8Q1LinCuBD,,,,,48.41520691,-123.3655014,test,,4,4,1,5,2,4,2,3,2,1,3,1,3,5,3
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_eJAjG19PFaZQ7kN,,,,,48.41520691,-123.3655014,test,,2,4,2,4,1,4,4,1,5,2,3,3,5,4,1
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_eJAgwX4pgw6tMFL,,,,,48.41520691,-123.3655014,test,,4,1,3,4,1,5,1,3,4,2,5,4,3,5,3
2019-07-17 14:35,2019-07-17 14:35,2,,100,0,1,2019-07-17 14:35,R_3COpQMfZXUHKtN3,,,,,48.41520691,-123.3655014,test,,5,5,1,5,3,5,3,2,4,4,5,2,3,5,4
