StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SDSIPI_1,SDSIPI_2,SDSIPI_3,SDSIPI_4,SDSIPI_5,SDSIPI_6,SDSIPI_7,SDSIPI_8,SDSIPI_9,SDSIPI_10,SDSIPI_11,SDSIPI_12
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3dRcigHciggZuIt,,,,,48.4992981,-123.4002991,test,,2,2,4,3,5,5,1,1,5,4,3,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bO7R28nIfzYOTid,,,,,48.4992981,-123.4002991,test,,5,5,5,2,5,1,3,1,5,2,3,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bf39UKIdPEFaM2p,,,,,48.4992981,-123.4002991,test,,2,2,1,5,1,2,1,1,5,2,1,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_4JISA1JEU8UA7ul,,,,,48.4992981,-123.4002991,test,,5,4,2,1,2,3,5,1,5,2,5,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_4GCJJp0d5eRDshL,,,,,48.4992981,-123.4002991,test,,1,3,1,3,2,3,3,1,5,3,5,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_b3LsuitCumEd9wp,,,,,48.4992981,-123.4002991,test,,4,5,2,2,3,1,5,5,4,5,1,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_cvS2sFoAPH27ehT,,,,,48.4992981,-123.4002991,test,,4,2,1,5,4,2,5,5,5,3,5,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eE9RM6XGxByQtCd,,,,,48.4992981,-123.4002991,test,,1,2,1,1,5,1,1,3,1,2,3,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_9KqSGJ3yJnzvCUl,,,,,48.4992981,-123.4002991,test,,2,2,1,5,2,3,3,3,2,3,5,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_0MqGsLN9up0dubX,,,,,48.4992981,-123.4002991,test,,3,1,5,4,1,5,2,2,5,4,5,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eqCFjxn2I10LCo5,,,,,48.4992981,-123.4002991,test,,3,5,2,2,2,3,1,3,3,3,3,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_08pk4FMbnrhO21L,,,,,48.4992981,-123.4002991,test,,1,2,5,2,4,1,3,2,2,2,4,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_afMkTZsZXyKHcFL,,,,,48.4992981,-123.4002991,test,,3,2,2,5,1,3,5,4,2,3,5,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bxUONOCeLIcwmep,,,,,48.4992981,-123.4002991,test,,3,2,5,2,4,2,2,5,2,5,5,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_dd26cXSgfJJcxIp,,,,,48.4992981,-123.4002991,test,,4,4,3,5,3,4,4,1,4,4,4,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3WxZKwZYEcWwzK5,,,,,48.4992981,-123.4002991,test,,1,4,1,4,1,5,3,2,4,1,1,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_aXmCvEmrU7RjTvv,,,,,48.4992981,-123.4002991,test,,1,2,3,2,5,2,3,1,3,4,1,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_4Pf0lofbsiFC8kZ,,,,,48.4992981,-123.4002991,test,,2,3,5,5,1,2,2,4,3,1,2,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3BCUtxE5EjSWvrv,,,,,48.4992981,-123.4002991,test,,4,3,3,2,2,3,4,4,1,5,2,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_dnlWyYH3Dwi3bi5,,,,,48.4992981,-123.4002991,test,,5,1,3,5,4,3,4,2,3,2,2,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_5dNmEQlSuqHRplj,,,,,48.4992981,-123.4002991,test,,1,3,2,1,5,2,3,5,1,2,4,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3QqhyugOlWv6KdT,,,,,48.4992981,-123.4002991,test,,5,2,3,4,2,2,1,1,2,4,2,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3LdjZz1AIszSJxz,,,,,48.4992981,-123.4002991,test,,3,4,2,4,1,3,5,4,1,4,3,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bdxtcbDZpQ6Y6Nv,,,,,48.4992981,-123.4002991,test,,4,4,1,3,5,3,2,1,3,3,3,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eUN8SOnrqljraVD,,,,,48.4992981,-123.4002991,test,,5,1,5,5,3,2,4,5,1,2,1,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_0p9lGJVc6gLbJJz,,,,,48.4992981,-123.4002991,test,,1,1,4,2,4,2,1,3,5,1,1,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_8v43czgXVS5UEvz,,,,,48.4992981,-123.4002991,test,,4,4,5,2,3,4,5,1,3,2,2,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_9EtqHdJwLS7pvb7,,,,,48.4992981,-123.4002991,test,,3,5,3,1,4,4,5,2,1,5,3,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bjFydoBSJZEMFiR,,,,,48.4992981,-123.4002991,test,,1,4,2,2,1,5,2,3,4,2,3,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bdz1WvqHRRQ4g9D,,,,,48.4992981,-123.4002991,test,,4,1,4,3,3,5,5,3,5,4,2,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_5dOyoQSHfeqTHnL,,,,,48.4992981,-123.4002991,test,,4,5,3,4,1,3,5,3,1,3,1,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_2oyk58aBGBjWIe1,,,,,48.4992981,-123.4002991,test,,3,4,5,4,1,4,2,3,2,4,2,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_6m7JBj7DpyFOrJ3,,,,,48.4992981,-123.4002991,test,,3,5,5,1,2,1,1,2,5,1,2,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_6JO6NssOJEv6UAZ,,,,,48.4992981,-123.4002991,test,,4,5,4,5,2,5,5,1,4,2,2,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_6ShexnZgHSieFDf,,,,,48.4992981,-123.4002991,test,,4,4,1,1,5,4,5,4,3,4,5,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_71K0AbayAdf6wC1,,,,,48.4992981,-123.4002991,test,,5,2,1,5,1,3,3,3,4,1,3,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3rYl6pa9wXQQOq1,,,,,48.4992981,-123.4002991,test,,2,4,2,5,3,2,3,5,1,5,4,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_8i6r4sVzoxsn39P,,,,,48.4992981,-123.4002991,test,,5,4,3,3,5,4,1,2,2,3,4,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eRRKpRVFgnViI6h,,,,,48.4992981,-123.4002991,test,,5,2,1,1,3,1,4,5,5,2,4,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_a3sNWCf4uCUnAbj,,,,,48.4992981,-123.4002991,test,,4,5,2,1,3,5,5,2,5,5,5,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_57tbnbzQUhDgZW5,,,,,48.4992981,-123.4002991,test,,1,4,1,1,3,2,1,3,3,5,5,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_1BuXE2wZveYNHil,,,,,48.4992981,-123.4002991,test,,4,4,1,3,5,1,1,2,3,3,3,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_3wKfV4UGEi7fmQJ,,,,,48.4992981,-123.4002991,test,,3,1,4,1,3,5,5,4,5,3,1,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_1Gp3ngFvR4vk9O5,,,,,48.4992981,-123.4002991,test,,5,5,5,3,3,2,1,3,1,2,1,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eG2MbZgz5jzbqpD,,,,,48.4992981,-123.4002991,test,,1,5,2,3,1,3,4,2,1,4,5,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_7R7gAo3Z1Axa2QR,,,,,48.4992981,-123.4002991,test,,3,1,3,3,4,3,3,3,1,4,2,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_cTmJ5lSRY1Iqygt,,,,,48.4992981,-123.4002991,test,,4,2,3,2,1,1,3,2,4,4,1,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eRS63DCGmIItT4F,,,,,48.4992981,-123.4002991,test,,3,2,1,1,1,5,5,1,2,3,4,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eXxh7Vh2OI1M0dv,,,,,48.4992981,-123.4002991,test,,4,2,1,4,5,2,3,1,1,5,2,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_0jIXtSoLL35Z6eh,,,,,48.4992981,-123.4002991,test,,2,3,4,2,1,3,5,3,2,3,1,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_eA8PIftb2iPEiIR,,,,,48.4992981,-123.4002991,test,,4,5,3,1,2,5,3,3,5,4,2,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_5veSgpNd0a080MR,,,,,48.4992981,-123.4002991,test,,5,5,4,1,2,5,5,2,5,3,4,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_54QqGJkwvgeMUbH,,,,,48.4992981,-123.4002991,test,,2,1,3,5,3,1,4,2,4,4,5,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_8dFE3uABhdyHSW9,,,,,48.4992981,-123.4002991,test,,4,2,4,2,4,4,3,4,1,3,5,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_8dMWEefI3hLy6C9,,,,,48.4992981,-123.4002991,test,,1,5,3,1,3,2,3,3,1,4,4,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_4MUyizMYb2pG9sF,,,,,48.4992981,-123.4002991,test,,5,4,1,4,2,3,3,3,1,2,3,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_a3ixXKmIlzVIYIJ,,,,,48.4992981,-123.4002991,test,,3,5,1,1,4,2,1,2,2,1,1,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_doFKFf6Ris6m4aF,,,,,48.4992981,-123.4002991,test,,5,4,1,5,3,3,3,4,3,1,1,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_6s30mDeyyOYp3r7,,,,,48.4992981,-123.4002991,test,,1,2,5,4,3,3,1,3,3,2,4,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_bjyD2R4F0wrYCJ7,,,,,48.4992981,-123.4002991,test,,4,5,1,1,3,1,4,5,4,1,5,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_cYYFzzC8hB0Q3w9,,,,,48.4992981,-123.4002991,test,,5,5,1,3,3,4,5,4,3,2,2,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_9yOUJgNQkeLojS5,,,,,48.4992981,-123.4002991,test,,1,3,1,5,3,4,1,3,3,1,3,3
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_56VkJVeJSxm4JJr,,,,,48.4992981,-123.4002991,test,,2,4,4,4,4,2,2,3,4,1,2,1
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_cGfUDGyWv8CvjdX,,,,,48.4992981,-123.4002991,test,,4,2,4,1,1,1,4,2,3,4,5,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_1yQLqrDcpyatEXP,,,,,48.4992981,-123.4002991,test,,1,1,2,1,2,3,1,5,5,2,1,4
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_5i2VskyKyJ5DGWF,,,,,48.4992981,-123.4002991,test,,1,3,2,1,4,3,4,1,3,4,1,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_em6bXjZTCTF5Yqh,,,,,48.4992981,-123.4002991,test,,3,5,5,2,2,2,1,3,2,5,4,2
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_1B5R0lgXt5zzvh3,,,,,48.4992981,-123.4002991,test,,5,3,3,4,5,5,1,2,2,2,3,5
2019-07-13 10:56,2019-07-13 10:56,2,,100,0,1,2019-07-13 10:56,R_2ixm3vVKZz5K3VX,,,,,48.4992981,-123.4002991,test,,1,3,4,1,3,3,3,3,4,4,4,5
