StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SCIRS_1,SCIRS_2,SCIRS_3,SCIRS_4,SCIRS_5,SCIRS_6,SCIRS_7,SCIRS_8,SCIRS_9,SCIRS_10,SCIRS_11,SCIRS_12,SCIRS_13,SCIRS_14,SCIRS_15,SCIRS_16,SCIRS_17,SCIRS_18,SCIRS_19,SCIRS_20,SCIRS_21,SCIRS_22,SCIRS_23,SCIRS_24,SCIRS_25,SCIRS_26,SCIRS_27,SCIRS_28,SCIRS_29,SCIRS_30,SCIRS_31,SCIRS_32,SCIRS_33,SCIRS_34
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_8D3aLsvfm1ATRU9,,,,,48.44960022,-123.302597,test,,3,5,4,0,5,3,1,5,3,3,2,2,4,4,2,5,3,5,0,3,5,4,2,5,3,0,4,0,3,2,5,4,4,5
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_exS2z2W3uMZ8Ra5,,,,,48.44960022,-123.302597,test,,1,4,1,1,2,2,3,5,0,5,5,5,4,5,3,5,0,5,2,5,0,0,3,2,4,3,4,5,3,0,5,3,4,3
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_1BQR388dXaBQQuh,,,,,48.44960022,-123.302597,test,,0,5,5,1,4,0,3,1,3,2,0,0,0,0,3,2,2,2,3,3,1,4,0,3,0,4,0,2,3,0,2,3,1,4
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_a4X1DzxYLladnlb,,,,,48.44960022,-123.302597,test,,5,3,2,2,2,2,1,5,1,2,4,2,1,1,5,5,4,1,3,2,1,5,2,0,4,3,0,0,5,0,1,2,5,2
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_1MJaGXsBz0Z8iUJ,,,,,48.44960022,-123.302597,test,,0,4,1,3,3,1,4,0,2,5,0,5,4,5,3,2,2,0,3,2,4,2,3,1,5,5,0,2,0,5,1,2,5,3
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_ehC6lxgRLl63r25,,,,,48.44960022,-123.302597,test,,1,0,1,0,4,1,0,3,4,1,0,4,3,4,1,0,3,5,2,0,5,5,4,0,1,2,2,4,0,4,4,5,3,1
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_bkBd6rfng3ybjrn,,,,,48.44960022,-123.302597,test,,0,4,2,0,1,1,4,5,5,2,4,5,2,3,4,2,1,1,1,4,0,0,1,5,1,0,5,2,1,4,2,5,5,3
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_0VQOkzZFrFqQDpb,,,,,48.44960022,-123.302597,test,,0,3,0,1,2,0,1,1,2,4,0,5,2,5,0,5,3,5,5,3,4,4,1,3,5,4,5,4,3,0,1,2,4,4
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_6D2cjH9WLgFStEh,,,,,48.44960022,-123.302597,test,,2,5,1,4,2,1,1,3,3,2,1,5,5,5,0,2,3,0,3,3,1,2,1,1,2,5,4,4,0,5,0,5,2,2
2019-07-20 12:48,2019-07-20 12:48,2,,100,0,1,2019-07-20 12:48,R_4VlWTTihBZyncO1,,,,,48.44960022,-123.302597,test,,2,1,0,0,4,5,0,1,5,4,2,4,4,0,5,1,2,2,5,4,4,4,3,2,5,5,4,2,4,0,0,1,4,1
