StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,FCARS,FCARS_Y_1,FCARS_Y_2,FCARS_Y_3,FCARS_Y_4,FCARS_Y_5,FCARS_Y_6,FCARS_Y_7,FCARS_Y_8,FCARS_Y_9,FCARS_Y_10,FCARS_Y_11,FCARS_Y_12,FCARS_Y_13,FCARS_N_1,FCARS_N_2,FCARS_N_3,FCARS_N_4,FCARS_N_5,FCARS_N_6,FCARS_N_7,FCARS_N_8,FCARS_N_9,FCARS_N_10,FCARS_N_11,FCARS_N_12,FCARS_N_13
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_5ceSQ1t2xbNDxvn,,,,,48.44960022,-123.302597,test,,1,,,,,,,,,,,,,,6,6,7,3,5,2,1,3,1,3,3,7,2
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_8rchF2RT3UUvYcR,,,,,48.44960022,-123.302597,test,,2,3,2,1,5,3,4,7,7,2,6,7,5,1,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_2h1w1IFdGGJOjHv,,,,,48.44960022,-123.302597,test,,2,7,3,2,4,7,2,7,7,7,1,3,2,1,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_2hire1fWrP8L75r,,,,,48.44960022,-123.302597,test,,1,,,,,,,,,,,,,,4,6,5,6,2,5,3,1,1,6,6,1,1
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_d0iUVmrowcQhvWl,,,,,48.44960022,-123.302597,test,,1,,,,,,,,,,,,,,4,4,2,5,4,6,5,1,1,5,2,7,2
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_eX730AythU54omN,,,,,48.44960022,-123.302597,test,,2,7,4,6,2,3,3,4,4,7,3,7,7,5,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_9Ey0YmrBSafUkrb,,,,,48.44960022,-123.302597,test,,2,4,3,4,6,7,7,6,3,5,6,7,1,5,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_4PcrbEyHdR1ocWF,,,,,48.44960022,-123.302597,test,,1,,,,,,,,,,,,,,1,7,7,3,5,4,3,1,5,7,1,2,4
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_5yzVqPjLisudqTz,,,,,48.44960022,-123.302597,test,,2,6,4,1,6,2,5,7,4,5,4,7,7,6,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_6fGtf5mf6hBsskZ,,,,,48.44960022,-123.302597,test,,1,,,,,,,,,,,,,,7,5,6,1,2,1,2,5,5,5,6,5,5
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_3PmVYO18pn1wOQ5,,,,,48.44960022,-123.302597,test,,2,2,2,1,7,3,1,4,4,4,3,5,4,2,,,,,,,,,,,,,
2019-07-11 14:29,2019-07-11 14:29,2,,100,0,1,2019-07-11 14:29,R_0kpoEydJa2FLkfb,,,,,48.44960022,-123.302597,test,,2,3,1,5,2,2,6,2,3,4,7,3,7,1,,,,,,,,,,,,,
2019-07-11 15:36,2019-07-11 15:36,2,,100,0,1,2019-07-11 15:36,R_5u3XJklKto9vq6x,,,,,48.44960022,-123.302597,test,,1,4,7,5,7,6,7,4,2,6,7,1,1,7,,,,,,,,,,,,,
2019-07-11 15:36,2019-07-11 15:36,2,,100,0,1,2019-07-11 15:36,R_3QMdxadxIfX3K7P,,,,,48.44960022,-123.302597,test,,2,,,,,,,,,,,,,,2,4,1,5,1,5,7,1,3,6,3,4,6
2019-07-11 15:36,2019-07-11 15:36,2,,100,0,1,2019-07-11 15:36,R_bIYtXyQpZ4k6xFj,,,,,48.44960022,-123.302597,test,,1,2,5,2,6,3,6,6,4,4,6,5,2,4,,,,,,,,,,,,,
2019-07-11 15:36,2019-07-11 15:36,2,,100,0,1,2019-07-11 15:36,R_0qdvUDLGQ6lSze5,,,,,48.44960022,-123.302597,test,,1,6,2,2,6,1,1,6,1,7,3,3,5,2,,,,,,,,,,,,,
2019-07-11 15:36,2019-07-11 15:36,2,,100,0,1,2019-07-11 15:36,R_9WAiYUvWT41CjTn,,,,,48.44960022,-123.302597,test,,1,4,3,7,6,6,5,2,2,1,3,2,1,2,,,,,,,,,,,,,
